Date/Time,news_text,CV Pred Category,TF-IDF Pred Category
2019-09-24T04:06:52Z,  Brook House immigration removal centre near Gatwick Airport can hold up to 448 detaineesPrivate firm G4S will no longer run Brook House immigration removal centre once the contract expires next year BBC News has learned G4S says it has [2573 chars],politics,politics
2019-09-24T03:26:09Z, AFP  Emmanuel Macron l met Angela Merkel and Boris Johnson r at the UN headquartersIran has rejected a joint statement by the leaders of France Germany and the UK who blamed it for attacks earlier this month on Saudi oil in [3843 chars],business,business
2019-09-24T03:20:12Z, Nazanin ZaghariRatcliffe   Nazanin ZaghariRatcliffe has been detained in Iran since April 2016Boris Johnson is to call for the release of jailed BritishIranian national Nazanin ZaghariRatcliffe when he meets Irans president [3227 chars],politics,politics
2019-09-24T03:10:16Z,    People were trapped in burning buildings in WamenaAt least 20 people are dead and 65 injured in Indonesias eastern region of Papua following fresh violenceOn Monday hundreds of protesters mainly high school  [2489 chars],politics,business
2019-09-24T01:36:50Z,,tech,sports
2019-09-24T01:27:11Z, ReutersThomas Cook customers have accused airlines of cashing in on the holiday firms demise after being faced with high bills to book replacement flightsPeople who booked flights with the company now trying to find replacement deals to [3146 chars],business,business
2019-09-24T00:30:59Z,Media captionThe move has been called fundamentally flawed by those who already have licencesGun owners have criticised plans to tighten guidelines on issuing firearms licencesUnder the current system police ask GPs to provide an applicants medical d [2758 chars],politics,politics
2019-09-24T00:18:02Z,    Playing music to dementia patients reduced agitation and stress levelsPlaying music to dementia patients in Accident and Emergency has a calming effect on them a study has found MP3 players were used to play mu [2210 chars],tech,tech
2019-09-24T00:16:55Z,    Pupils studying for Nat4s 5s and Highers can be taught at the same time in the same classroomPupils are being short changed when they are taught together for different qualifications according to a teachers unio [4666 chars],politics,politics
2019-09-24T00:13:32Z,  Sheerans design seen in detail on the right features piano keys and music notesPop superstar Ed Sheeran has said he is made up to have been asked to design a musicthemed Blue Peter badge to mark BBC Music Day on 26 SeptemberHe said [1469 chars],entertainment,tech
2019-09-24T00:11:47Z,  ImagesObesity is not a choice and making people feel ashamed results only in them feeling worse about themselves a report by top psychologists saysIt calls for changes in language to reduce stigma  such as saying a person with obe [3034 chars],politics,politics
2019-09-24T00:10:16Z,  ImagesThe number of people vaping in the UK has reached 36 million  about half the number of smokers  figures from Action on Smoking and Health suggestThe data indicates most vapers are former smokers with the main reason for usi [2821 chars],business,business
2019-09-24T00:07:19Z, RobertH82  Melting in Greenland and Antarctica is contributing significantly to sea level riseIt will be the clearest declaration yet on how an overheating world is hammering our oceans and frozen regions Scientists from the  [7877 chars],business,business
2019-09-24T00:05:32Z, NASA  Artwork IceSat fires its laser beams from an altitude of about 500kmScientists say one of the US space agencys Nasa new Earth observers is going to have a transformative impact in an unexpected areaThe IceSat2 lase [4847 chars],tech,tech
2019-09-24T00:04:39Z,Media captionJohnson refuses to rule out suspending Parliament againThe highest court in the UK is set to give its historic ruling on the legality of Boris Johnsons decision to suspend Parliament for five weeks Ministers say the suspension or prorogati [3872 chars],politics,politics
2019-09-24T00:00:43Z, Bettmann  Convicted British spies Harry Houghton and Miss Ethel Gee were both found guilty of spying and each sentenced to 15 years in prisonBritish intelligence ignored a tipoff about one of the most significant spies of the C [3776 chars],politics,politics
2019-09-23T23:44:24Z,The Sustainability Bungalow at Keele University is home to students who spend a year learning to live sustainably As a new group of students move in at the start of the current academic year photographer Alice Zoo meets last years residents and learns ho [6557 chars],entertainment,politics
2019-09-23T23:42:02Z,The Best Fifa Football Awards were full of sophistication swankiness and the odd bit of tomfooleryThe Best Fifa Football Awards were full of sophistication elegance and swankiness in Milans Teatro alla Scala Barcelonas Lionel Messi and Liverpools Ju [5771 chars],sports,sports
2019-09-23T23:30:09Z,,tech,sports
2019-09-23T23:22:00Z,In an emotional address to the UN climate summit the Swedish teenage climate activist Greta Thunberg warned of people dying ecosystems collapsing and said we were on the brink of mass extinction She accused world leaders of not doing enough Also Presiden [228 chars],politics,politics
2019-09-23T23:19:58Z, English Heritage  Religious scenes include stories from the Bible and terrifying visions of demonsTime is running out to preserve historic wall paintings around England that are at risk of deterioration and decay English Herita [2575 chars],entertainment,sports
2019-09-23T23:17:16Z, Puris  Tyler LorenzenWhen Tyler Lorenzen first started to sell protein powders derived from peas he received some odd looks As a former professional athlete  he was with the NFLs New Orleans Saints until 2011  he knew a  [5105 chars],entertainment,sports
2019-09-23T23:15:01Z, Lloyds of London  Lloyds of London chief executive John NealLloyds of London has vowed to tackle its male dominated culture after almost one in ten workers said they had witnessed sexual harassmentAccording to an independe [2801 chars],politics,business
2019-09-23T23:14:12Z,Jimmy Peters second row far right was a rugby pioneertabletrthJimmy Peters  The first black England rugby internationalthtrtrtdDate Tuesday 24 September Time 1800 BST Listen via BBC Radio Bristol and BBC Soundstdtrtable [5501 chars],sports,sports
2019-09-23T23:11:10Z,,tech,sports
2019-09-23T23:09:10Z, ReutersTaxi booking firm Uber will soon hear whether its licence to operate in London will be renewed and if so by how longAs things stand its private hire licence will expire on WednesdayTransport for London TfL will decide whethe [5003 chars],tech,business
2019-09-23T23:08:32Z,,tech,sports
2019-09-23T23:07:31Z,,tech,sports
2019-09-23T23:06:49Z,  ImagesMore than 35000 people were forced to flee their homes every day in 2018  one every two seconds  taking the worlds displaced population to a record 71 millionA total of 26 million people have fled across borders 41 million [12277 chars],tech,tech
2019-09-23T23:05:22Z,,tech,sports
2019-09-23T23:03:51Z,Jurgen Klopp has joined American Megan Rapinoe in Juan Matas Common Goal charity initiativeLiverpool boss Jurgen Klopp has said he is a member of the Common Goal family where footballers and coaches donate 1 of their salary to charityKlopp 52 made [1497 chars],sports,sports
2019-09-23T23:03:07Z,,tech,sports
2019-09-23T23:00:41Z,  Asked if he was connected to the Brighton bomb Patrick Ryan replied One hundred per centA man who helped arm the IRA has admitted links to major bomb attacks including one which targeted Prime Minister Margaret Thatcher in 1984Patri [2202 chars],politics,politics
2019-09-23T23:00:37Z,,tech,sports
2019-09-23T22:49:07Z,    Benjamin Netanyahu and Benny Gantz held two hours of talksIsraeli PM Benjamin Netanyahu and his main opponent Benny Gantz have taken a significant step towards forming a unity government Israels president has [2196 chars],politics,politics
2019-09-23T22:12:55Z,Media captionThomas Cook employees such as Ella Waine pictured in her uniform react to the companys collapseThomas Cook bosses actions will face scrutiny as part of an investigation into the tour operators collapseBusiness secretary Andrea Leadsom a [5959 chars],politics,politics
2019-09-23T22:10:05Z,VideoOwen teamed up with local athlete Josh to place first place for his age group at the race in Muncie Indiana The 12yearolds legs were amputated after he was seriously burnt as a toddler,entertainment,sports
2019-09-23T21:49:58Z, Reuters  Labour says the offshore wind sector is too dominated by foreign firmsLabour is pledging to invest billion of pounds in electric car production and offshore wind generation to accelerate the green industrial revolution [4766 chars],business,business
2019-09-23T21:42:03Z,Russian athletes were allowed to compete at the 2016 Olympic Games in RioRussia could face a ban from all major sports events over discrepancies in a lab database the World AntiDoping Agency has warnedThe country has been given three weeks to explain [4483 chars],sports,sports
2019-09-23T21:30:05Z,West Ham Women usually play their home games at Rush Green StadiumAbout 20000 fans are expected at Sundays Womens Super League game between West Ham and Tottenham at the London Stadium Jack Sullivan has saidThe Hammers womens side will be playing a [2059 chars],sports,sports
2019-09-23T21:29:12Z, Stephen Osman\Los Angeles Times\Getty  David Mikkelson by his computer monitor with a doctored photo in the early days of SnopesHow do you survive 25 years in the factchecking businessSnopes began as a forum for sharing and  [6853 chars],tech,tech
2019-09-23T21:26:22Z,    Ayesha TanJones protested against the designs with a message written on their handsA model staged a silent protest while walking in the Gucci show at Milan Fashion Week on SundayAyesha TanJones and other model [2295 chars],tech,tech
2019-09-23T21:25:45Z,  ImagesClimate change will be top of the agenda when the worlds leaders meet in New York this week But what else will be discussed at the annual United Nations General AssemblyWhat is the United Nations and what is its General Assem [4674 chars],business,business
2019-09-23T21:19:13Z,  ImagesIndian Prime Minster Narendra Modis highprofile visit to the US includes an evening in New York where he will be honoured for a flagship government scheme But the celebrity event has turned controversial It all began with a [7088 chars],politics,politics
2019-09-23T21:15:03Z,Media captionOnline scamming If it doesnt look right dont trust itIn our series of letters from African writers Nigerian novelist Adaobi Tricia Nwaubani laments that internet scammers have become role models for many youths in her country The Fede [6865 chars],tech,tech
2019-09-23T21:15:01Z,    At least one child was handcuffed file photoA US police officer has been suspended after arresting two sixyearolds at a school in Orlando Florida One of the two was handcuffed after throwing a tantrum and k [1603 chars],politics,politics
2019-09-23T21:10:00Z,Swedish campaigner Greta Thunberg has made a passionate speech to world leaders at a major UN climate summit in New York accusing them of failing to act on climate change Also on the programme President Trump brushes off concerns over the propriety of a  [340 chars],politics,politics
2019-09-23T21:01:45Z,    What does Ukraine have to do with Hunter Biden Joe Biden and Donald TrumpTheres a new political controversy in the US  involving Donald Trump foreign nationals questions about legal and ethical behaviour and [10635 chars],politics,politics
2019-09-23T20:33:17Z, Pacemaker  The school was evacuated after the alarm was raised following the discovery of the deviceAn improvised weapon has been discovered in the grounds of a primary school in north Belfast the police have saidIt was disc [1642 chars],entertainment,politics
2019-09-23T20:30:15Z,Media playback is not supported on this deviceWales 4314 Georgia three of the best tries from sixtry victorytabletrthWorld Cup  Pool D Wales v AustraliathtrtrtdVenue Tokyo Stadium Tokyo Date Sunday 29 September Kickoff 0845 B [5715 chars],sports,sports
2019-09-23T20:16:19Z,The UK Asian Football Championships come to Glasgow with Rangers Ibrox Stadium hosting Sundays final,sports,sports
2019-09-23T20:10:54Z,Megan Rapinoe won the womens player award  ahead of fellow American Alex Morgan and Englands Lucy Bronze  at the Best Fifa Football Awards in MilanRapinoe 34 had won the Golden Ball for being the best player at the 2019 Womens World Cup as she helpe [1097 chars],sports,sports
2019-09-23T19:48:22Z, Reuters  Senator Jean Marie Ralph Fthire is seen on the right seconds after opening fireA Haitian senator opened fire during a protest outside the countrys parliament building wounding two people including a photographerC [1906 chars],business,business
2019-09-23T19:31:10Z,    Families are to receive about 144500 eachFamilies who lost relatives in fatal Boeing 737 Max air crashes are set to receive about 144500 116200 each from the companyBoeings financial assistance fund has [1179 chars],business,business
2019-09-23T19:03:03Z,Liverpool manager Jurgen Klopp won the mens coach of the year at the Best Fifa Football Awards in MilanKlopp 52 was one of three Premier League bosses to be nominated for the award alongside Manchester Citys Pep Guardiola and Tottenhams Mauricio Poch [1065 chars],sports,sports
2019-09-23T18:55:44Z,,tech,sports
2019-09-23T18:49:00Z, Google  Googles service can be shared between up to five family membersGoogle has launched a subscription service offering users access to more than 350 completely unlocked Android apps and games for a monthly feeAll softw [1892 chars],tech,tech
2019-09-23T18:40:58Z, GoogleFour armed robbers escaped with jewellery worth a fivefigure sum in raid on a familyrun jewellers shop in Dundee city centreThe gang threatened staff with weapons after walking into the Kenneth Walker and Son shop on Union Street a [1628 chars],politics,politics
2019-09-23T18:32:54Z,  ImagesThe FBI has arrested a US Army soldier on suspicion of sharing instructions via social media on how to make making bombsJarrett William Smith allegedly suggested using a vehicle bomb to attack a major US news networkThe 24y [1471 chars],tech,tech
2019-09-23T18:24:20Z, PA Media  Christian Tuvi 44 died on 18 September while repairing a walkway at Waterloo stationThe family of an engineer killed while working on a moving walkway at Waterloo station have paid tribute to a hardworking loving f [1321 chars],entertainment,entertainment
2019-09-23T18:20:06Z,,tech,sports
2019-09-23T17:58:21Z,Jordan Abdull scored four tries when London Broncos beat Wakefield in MayHull KR have resigned halfback Jordan Abdull from relegated Super League side London Broncos on a twoyear dealThe 23yearold who was born in the city spent the season on loan  [353 chars],sports,sports
2019-09-23T17:57:00Z,,tech,sports
2019-09-23T17:55:18Z,,tech,sports
2019-09-23T17:51:15Z, Metropolitan Police  Josh Hanson was pronounced dead at the scene of the attack at the RE bar in HillingdonA pubgoer who killed a 21yearold man by slashing his neck has told a court he felt threatened by his smirking victim [2058 chars],entertainment,entertainment
2019-09-23T17:47:39Z, Reuters  Unauthorised public gatherings of more than 10 people have been banned since 2013Almost 500 people have been detained in Egypt in the past few days after protests against alleged government corruption human rights acti [3486 chars],politics,politics
2019-09-23T17:40:36Z,  Deji Olatunji admitted being in charge of a dog dangerously out of controlA YouTube star and his mother have admitted dangerous dog offences after their German shepherd bit and seriously injured an elderly womanDeji Olatunji who has more [1679 chars],sports,sports
2019-09-23T17:25:38Z, Chris DownerGographPolice have appealed for witnesses after a man died after falling from the Erskine Bridge over the River ClydeEmergency services were called to the bridge at about 1100 and the body of an unidentified man was recovered [881 chars],entertainment,entertainment
2019-09-23T17:22:42Z,  A petition was handed in at Sheffield Town Hall by members of Its Our CitySheffield residents are set to vote in a referendum on whether to the city council should be run in a different way Its Our City launched a petition in 2018 calli [3283 chars],politics,politics
2019-09-23T17:19:26Z,Emily Muskett won gold in the 2018 Commonwealth Games on the Gold CoastEmily Muskett became Britains first medallist at the World Weightlifting Championships in 25 years with bronze in the clean and jerk in ThailandCommonwealth champion Muskett 29 lif [1970 chars],sports,sports
2019-09-23T17:13:40Z,Keith Barker left finished the first day with figures of 548tabletrtdSpecsavers County Championship Division One Spitfire Ground Canterbury day onetdtrtrtdKent 147 BellDrummond 39 Rayner 39 Barker 548 Abbott 349tdtrtr [1251 chars],sports,sports
2019-09-23T17:12:54Z, West Yorkshire Police  Stefan Carr admitted four counts of assault and one of attempted assaultA man who was caught assaulting his partner on cameras he had installed in his home has been jailedStefan Carr from Carlyle Cresc [2017 chars],sports,sports
2019-09-23T17:09:21Z,Australian paceman Michael Hogan was the pick of Glamorgans bowlerstabletrtdSpecsavers County Championship Division Two Emirates Riverside day onetdtrtrtdDurham 1976 Watling 83 Hogan 431tdtrtrtdGlamorgan Yet to battd [1060 chars],sports,sports
2019-09-23T17:05:37Z, AFP  The ruling comes days after the Oktoberfest beer festival opened in MunichA German court has ruled hangovers are an illness in a case against the maker of an antihangover drinkThe firm was taken to court in Frankfurt [942 chars],business,business
2019-09-23T17:03:05Z,Tom KohlerCadmores previous best against the Bears at Edgbaston came just 24 days earlier when he hit an unbeaten 94 in the T20 BlasttabletrtdSpecsavers County Championship Division One Edgbaston day onetdtrtrtdYorkshire 2612 Kohler [3755 chars],sports,sports
2019-09-23T16:51:41Z, Greater Anglia  Conductor Nathan Long said aggressive drunks seem to instantly stop as soon as they see the cameraCamera badges are being introduced for train conductors on routes where a train company says eight staff are ass [1608 chars],entertainment,business
2019-09-23T16:49:56Z,VideoThe Hyatt Centric Times Square hotel was evacuated on Sunday after a fire broke out at the neighbouring OLunneys restaurant and bar There have been some reported injuries and officials are continuing to investigate the cause,politics,sports
2019-09-23T16:48:11Z,,tech,sports
2019-09-23T16:36:30Z,,tech,sports
2019-09-23T16:35:30Z, GoFundMe  Zariah Hasheme with her mother Demi PetrowskiA couple who struggled with fertility issues and endured six miscarriages before having a child are mourning the hot car death of their miracle babyTwoyearold Zariah [2353 chars],entertainment,entertainment
2019-09-23T16:34:32Z, Anderson family  Joan Anderson worked for many years at schools in the HighlandsPolice have named a woman who died following a twocar crash on the Black Isle on Saturday Retired teacher Joan Anderson was 63 and lived in the  [864 chars],entertainment,entertainment
2019-09-23T16:28:24Z,Ferraris Sebastian Vettel and Charles Leclerc took the first two places in SingaporeChampionship leader Lewis Hamilton says Ferrari will be tough to beat for the rest of the seasonFerrari took their third consecutive victory in Singapore on Sunday as Me [3361 chars],sports,sports
2019-09-23T16:27:56Z, Jared Stapp  BBCWhat do we know about Emily Doe We know she was sexually assaulted by Brock Turner outside a frat party at Stanford University California one night in January 2015 She was found unconscious and partlyclothed near a dump [16007 chars],entertainment,entertainment
2019-09-23T16:24:52Z,,tech,sports
2019-09-23T16:21:15Z,Sam Robsons 93 runs came off 163 deliveries with 13 fourstabletrtdSpecsavers County Championship Division Two Lords day onetdtrtrtdMiddlesex 1763 Robson 93 Malan 51tdtrtrtdDerbyshire Yet to battdtrtrtdMiddlesex [699 chars],sports,sports
2019-09-23T16:17:02Z,  ImagesShadow Chancellor John McDonnell has said that people in the UK work some of the longest hours in Europe In a speech at Labours annual conference he pledged that the party would work towards an average fulltime working wee [1886 chars],politics,politics
2019-09-23T16:16:29Z,Manchester City won the 201819 Carabao Cup when they beat Chelsea 43 on penalties after it finished goallesstabletrthCarabao Cup third roundthtrtrtdDate Tuesday 24 September and Wednesday 25 SeptembertdtrtrtdCoverage Live c [5874 chars],sports,sports
2019-09-23T16:15:47Z, PA Media  Ian Hemmens will be sentenced in OctoberAn 81yearold man has been found guilty of acting as a getaway driver for a man accused of stabbing a rival in a drugs disputeIan Hemmens picked up Mahamud Sami after the att [1695 chars],entertainment,business
